event_year,event_week,respiratory_category,percent
2016,29,ILI,0.90
2016,30,Broad Acute Respiratory,4.18
2016,30,COVID-19,0.00
2016,30,Influenza,0.00
2016,30,RSV,0.00
2016,30,ILI,0.80
2016,31,Broad Acute Respiratory,4.28
2016,31,COVID-19,0.00
2016,31,Influenza,0.00
2016,31,RSV,0.00
2016,31,ILI,0.73
2016,32,Broad Acute Respiratory,4.56
2016,32,COVID-19,0.00
2016,32,Influenza,0.02
2016,32,RSV,0.00
2016,32,ILI,0.87
2016,33,Broad Acute Respiratory,4.75
2016,33,COVID-19,0.00
2016,33,Influenza,0.01
2016,33,RSV,0.00
2016,33,ILI,0.89
2016,34,Broad Acute Respiratory,4.90
2016,34,COVID-19,0.00
2016,34,Influenza,0.01
2016,34,RSV,0.00
2016,34,ILI,0.83
2016,35,Broad Acute Respiratory,5.13
2016,35,COVID-19,0.00
2016,35,Influenza,0.02
2016,35,RSV,0.00
2016,35,ILI,0.77
2016,36,Broad Acute Respiratory,5.55
2016,36,COVID-19,0.00
2016,36,Influenza,0.03
2016,36,RSV,0.00
2016,36,ILI,0.90
2016,37,Broad Acute Respiratory,7.47
2016,37,COVID-19,0.00
2016,37,Influenza,0.05
2016,37,RSV,0.00
2016,37,ILI,1.30
2016,38,Broad Acute Respiratory,7.76
2016,38,COVID-19,0.00
2016,38,Influenza,0.02
2016,38,RSV,0.00
2016,38,ILI,1.60
2016,39,Broad Acute Respiratory,7.94
2016,39,COVID-19,0.00
2016,39,Influenza,0.06
2016,39,RSV,0.00
2016,39,ILI,1.51
2016,40,Broad Acute Respiratory,7.34
2016,40,COVID-19,0.00
2016,40,Influenza,0.05
2016,40,RSV,0.01
2016,40,ILI,1.38
2016,41,Broad Acute Respiratory,7.98
2016,41,COVID-19,0.00
2016,41,Influenza,0.09
2016,41,RSV,0.01
2016,41,ILI,1.61
2016,42,Broad Acute Respiratory,8.13
2016,42,COVID-19,0.00
2016,42,Influenza,0.09
2016,42,RSV,0.00
2016,42,ILI,1.51
2016,43,Broad Acute Respiratory,8.83
2016,43,COVID-19,0.00
2016,43,Influenza,0.08
2016,43,RSV,0.02
2016,43,ILI,1.75
2016,44,Broad Acute Respiratory,8.60
2016,44,COVID-19,0.00
2016,44,Influenza,0.07
2016,44,RSV,0.02
2016,44,ILI,1.79
2016,45,Broad Acute Respiratory,9.42
2016,45,COVID-19,0.00
2016,45,Influenza,0.10
2016,45,RSV,0.02
2016,45,ILI,1.66
2016,46,Broad Acute Respiratory,9.54
2016,46,COVID-19,0.00
2016,46,Influenza,0.07
2016,46,RSV,0.04
2016,46,ILI,1.91
2016,47,Broad Acute Respiratory,10.43
2016,47,COVID-19,0.00
2016,47,Influenza,0.07
2016,47,RSV,0.06
2016,47,ILI,1.98
2016,48,Broad Acute Respiratory,9.87
2016,48,COVID-19,0.00
2016,48,Influenza,0.11
2016,48,RSV,0.04
2016,48,ILI,1.89
2016,49,Broad Acute Respiratory,9.89
2016,49,COVID-19,0.00
2016,49,Influenza,0.12
2016,49,RSV,0.09
2016,49,ILI,1.98
2016,50,Broad Acute Respiratory,10.35
2016,50,COVID-19,0.00
2016,50,Influenza,0.13
2016,50,RSV,0.08
2016,50,ILI,2.32
2016,51,Broad Acute Respiratory,10.20
2016,51,COVID-19,0.00
2016,51,Influenza,0.15
2016,51,RSV,0.12
2016,51,ILI,2.38
2016,52,Broad Acute Respiratory,11.96
2016,52,COVID-19,0.00
2016,52,Influenza,0.34
2016,52,RSV,0.20
2016,52,ILI,2.85
2017,1,Broad Acute Respiratory,11.99
2017,1,COVID-19,0.00
2017,1,Influenza,0.38
2017,1,RSV,0.27
2017,1,ILI,2.90
2017,2,Broad Acute Respiratory,10.62
2017,2,COVID-19,0.00
2017,2,Influenza,0.43
2017,2,RSV,0.13
2017,2,ILI,2.48
2017,3,Broad Acute Respiratory,10.69
2017,3,COVID-19,0.00
2017,3,Influenza,0.56
2017,3,RSV,0.15
2017,3,ILI,2.60
2017,4,Broad Acute Respiratory,11.11
2017,4,COVID-19,0.00
2017,4,Influenza,0.69
2017,4,RSV,0.23
2017,4,ILI,2.96
2017,5,Broad Acute Respiratory,11.80
2017,5,COVID-19,0.00
2017,5,Influenza,1.00
2017,5,RSV,0.18
2017,5,ILI,3.24
2017,6,Broad Acute Respiratory,13.49
2017,6,COVID-19,0.00
2017,6,Influenza,1.44
2017,6,RSV,0.20
2017,6,ILI,3.67
2017,7,Broad Acute Respiratory,13.69
2017,7,COVID-19,0.00
2017,7,Influenza,1.82
2017,7,RSV,0.17
2017,7,ILI,4.29
2017,8,Broad Acute Respiratory,13.58
2017,8,COVID-19,0.00
2017,8,Influenza,1.97
2017,8,RSV,0.12
2017,8,ILI,4.47
2017,9,Broad Acute Respiratory,12.68
2017,9,COVID-19,0.00
2017,9,Influenza,1.50
2017,9,RSV,0.07
2017,9,ILI,3.87
2017,10,Broad Acute Respiratory,12.21
2017,10,COVID-19,0.00
2017,10,Influenza,1.34
2017,10,RSV,0.13
2017,10,ILI,3.64
2017,11,Broad Acute Respiratory,12.32
2017,11,COVID-19,0.00
2017,11,Influenza,1.38
2017,11,RSV,0.10
2017,11,ILI,3.73
2017,12,Broad Acute Respiratory,12.75
2017,12,COVID-19,0.00
2017,12,Influenza,1.14
2017,12,RSV,0.06
2017,12,ILI,3.55
2017,13,Broad Acute Respiratory,11.91
2017,13,COVID-19,0.00
2017,13,Influenza,1.11
2017,13,RSV,0.04
2017,13,ILI,3.30
2017,14,Broad Acute Respiratory,11.41
2017,14,COVID-19,0.00
2017,14,Influenza,0.83
2017,14,RSV,0.03
2017,14,ILI,2.95
2017,15,Broad Acute Respiratory,10.52
2017,15,COVID-19,0.00
2017,15,Influenza,0.61
2017,15,RSV,0.04
2017,15,ILI,2.08
2017,16,Broad Acute Respiratory,8.54
2017,16,COVID-19,0.00
2017,16,Influenza,0.31
2017,16,RSV,0.03
2017,16,ILI,1.84
2017,17,Broad Acute Respiratory,8.44
2017,17,COVID-19,0.00
2017,17,Influenza,0.14
2017,17,RSV,0.02
2017,17,ILI,1.70
2017,18,Broad Acute Respiratory,8.34
2017,18,COVID-19,0.00
2017,18,Influenza,0.09
2017,18,RSV,0.01
2017,18,ILI,1.51
2017,19,Broad Acute Respiratory,8.64
2017,19,COVID-19,0.00
2017,19,Influenza,0.11
2017,19,RSV,0.02
2017,19,ILI,1.68
2017,20,Broad Acute Respiratory,8.12
2017,20,COVID-19,0.00
2017,20,Influenza,0.04
2017,20,RSV,0.01
2017,20,ILI,1.59
2017,21,Broad Acute Respiratory,7.92
2017,21,COVID-19,0.00
2017,21,Influenza,0.05
2017,21,RSV,0.01
2017,21,ILI,1.53
2017,22,Broad Acute Respiratory,7.36
2017,22,COVID-19,0.00
2017,22,Influenza,0.06
2017,22,RSV,0.00
2017,22,ILI,1.49
2017,23,Broad Acute Respiratory,6.95
2017,23,COVID-19,0.00
2017,23,Influenza,0.04
2017,23,RSV,0.00
2017,23,ILI,1.17
2017,24,Broad Acute Respiratory,6.26
2017,24,COVID-19,0.00
2017,24,Influenza,0.02
2017,24,RSV,0.01
2017,24,ILI,1.17
2017,25,Broad Acute Respiratory,6.01
2017,25,COVID-19,0.00
2017,25,Influenza,0.01
2017,25,RSV,0.00
2017,25,ILI,1.04
2017,26,Broad Acute Respiratory,5.49
2017,26,COVID-19,0.00
2017,26,Influenza,0.03
2017,26,RSV,0.00
2017,26,ILI,0.98
2017,27,Broad Acute Respiratory,4.95
2017,27,COVID-19,0.00
2017,27,Influenza,0.02
2017,27,RSV,0.00
2017,27,ILI,1.00
2017,28,Broad Acute Respiratory,4.69
2017,28,COVID-19,0.00
2017,28,Influenza,0.02
2017,28,RSV,0.00
2017,28,ILI,0.76
2017,29,Broad Acute Respiratory,4.56
2017,29,COVID-19,0.00
2017,29,Influenza,0.01
2017,29,RSV,0.00
2017,29,ILI,0.72
2017,30,Broad Acute Respiratory,4.71
2017,30,COVID-19,0.00
2017,30,Influenza,0.02
2017,30,RSV,0.00
2017,30,ILI,0.81
2017,31,Broad Acute Respiratory,5.00
2017,31,COVID-19,0.00
2017,31,Influenza,0.02
2017,31,RSV,0.00
2017,31,ILI,0.98
2017,32,Broad Acute Respiratory,4.99
2017,32,COVID-19,0.00
2017,32,Influenza,0.01
2017,32,RSV,0.01
2017,32,ILI,0.86
2017,33,Broad Acute Respiratory,5.32
2017,33,COVID-19,0.00
2017,33,Influenza,0.01
2017,33,RSV,0.01
2017,33,ILI,0.80
2017,34,Broad Acute Respiratory,5.92
2017,34,COVID-19,0.00
2017,34,Influenza,0.02
2017,34,RSV,0.01
2017,34,ILI,0.88
2017,35,Broad Acute Respiratory,6.12
2017,35,COVID-19,0.00
2017,35,Influenza,0.03
2017,35,RSV,0.00
2017,35,ILI,0.89
2017,36,Broad Acute Respiratory,7.37
2017,36,COVID-19,0.00
2017,36,Influenza,0.04
2017,36,RSV,0.01
2017,36,ILI,1.24
2017,37,Broad Acute Respiratory,8.59
2017,37,COVID-19,0.00
2017,37,Influenza,0.02
2017,37,RSV,0.01
2017,37,ILI,1.51
2017,38,Broad Acute Respiratory,8.45
2017,38,COVID-19,0.00
2017,38,Influenza,0.05
2017,38,RSV,0.01
2017,38,ILI,1.35
2017,39,Broad Acute Respiratory,8.06
2017,39,COVID-19,0.00
2017,39,Influenza,0.05
2017,39,RSV,0.00
2017,39,ILI,1.35
2017,40,Broad Acute Respiratory,7.81
2017,40,COVID-19,0.00
2017,40,Influenza,0.07
2017,40,RSV,0.01
2017,40,ILI,1.51
2017,41,Broad Acute Respiratory,8.10
2017,41,COVID-19,0.00
2017,41,Influenza,0.06
2017,41,RSV,0.02
2017,41,ILI,1.49
2017,42,Broad Acute Respiratory,8.48
2017,42,COVID-19,0.00
2017,42,Influenza,0.08
2017,42,RSV,0.05
2017,42,ILI,1.65
2017,43,Broad Acute Respiratory,9.07
2017,43,COVID-19,0.00
2017,43,Influenza,0.08
2017,43,RSV,0.02
2017,43,ILI,1.67
2017,44,Broad Acute Respiratory,9.52
2017,44,COVID-19,0.00
2017,44,Influenza,0.08
2017,44,RSV,0.06
2017,44,ILI,1.74
2017,45,Broad Acute Respiratory,10.10
2017,45,COVID-19,0.00
2017,45,Influenza,0.08
2017,45,RSV,0.08
2017,45,ILI,2.01
2017,46,Broad Acute Respiratory,10.80
2017,46,COVID-19,0.00
2017,46,Influenza,0.13
2017,46,RSV,0.11
2017,46,ILI,2.05
2017,47,Broad Acute Respiratory,11.55
2017,47,COVID-19,0.00
2017,47,Influenza,0.14
2017,47,RSV,0.21
2017,47,ILI,2.21
2017,48,Broad Acute Respiratory,11.20
2017,48,COVID-19,0.00
2017,48,Influenza,0.28
2017,48,RSV,0.22
2017,48,ILI,2.21
2017,49,Broad Acute Respiratory,11.60
2017,49,COVID-19,0.00
2017,49,Influenza,0.38
2017,49,RSV,0.23
2017,49,ILI,2.44
2017,50,Broad Acute Respiratory,13.06
2017,50,COVID-19,0.00
2017,50,Influenza,0.92
2017,50,RSV,0.33
2017,50,ILI,3.07
2017,51,Broad Acute Respiratory,15.26
2017,51,COVID-19,0.00
2017,51,Influenza,1.77
2017,51,RSV,0.46
2017,51,ILI,4.31
2017,52,Broad Acute Respiratory,20.52
2017,52,COVID-19,0.00
2017,52,Influenza,3.87
2017,52,RSV,0.49
2017,52,ILI,6.44
2017,1,Broad Acute Respiratory,19.50
2017,1,COVID-19,0.00
2017,1,Influenza,4.05
2017,1,RSV,0.48
2017,1,ILI,5.90
2018,2,Broad Acute Respiratory,18.00
2018,2,COVID-19,0.00
2018,2,Influenza,3.94
2018,2,RSV,0.37
2018,2,ILI,6.30
2018,3,Broad Acute Respiratory,18.22
2018,3,COVID-19,0.00
2018,3,Influenza,4.18
2018,3,RSV,0.39
2018,3,ILI,6.56
2018,4,Broad Acute Respiratory,18.52
2018,4,COVID-19,0.00
2018,4,Influenza,4.66
2018,4,RSV,0.26
2018,4,ILI,7.13
