event_year,event_season,respiratory_category,percent
2018,2017-2018,RSV,0.00
2018,2017-2018,ILI,0.90
2018,2017-2018,Broad Acute Respiratory,6.09
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.01
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,0.91
2018,2017-2018,Broad Acute Respiratory,6.22
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.00
2018,2017-2018,RSV,0.00
2018,2017-2018,ILI,0.94
2018,2017-2018,Broad Acute Respiratory,6.28
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.00
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,0.83
2018,2017-2018,Broad Acute Respiratory,6.28
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.00
2018,2017-2018,RSV,0.00
2018,2017-2018,ILI,0.92
2018,2017-2018,Broad Acute Respiratory,6.32
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.00
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,0.91
2018,2017-2018,Broad Acute Respiratory,6.65
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.00
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,0.95
2018,2017-2018,Broad Acute Respiratory,7.09
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.01
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,1.07
2018,2017-2018,Broad Acute Respiratory,7.69
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.07
2018,2017-2018,Broad Acute Respiratory,9.20
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.44
2018,2017-2018,Broad Acute Respiratory,8.79
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.03
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.41
2018,2017-2018,Broad Acute Respiratory,8.78
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.04
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,1.36
2018,2018-2019,Broad Acute Respiratory,8.20
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.05
2018,2018-2019,RSV,0.02
2018,2018-2019,ILI,1.38
2018,2018-2019,Broad Acute Respiratory,9.02
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.01
2018,2018-2019,RSV,0.05
2018,2018-2019,ILI,1.41
2018,2018-2019,Broad Acute Respiratory,10.16
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.05
2018,2018-2019,RSV,0.04
2018,2018-2019,ILI,1.75
2018,2018-2019,Broad Acute Respiratory,10.57
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.09
2018,2018-2019,RSV,0.09
2018,2018-2019,ILI,2.01
2018,2018-2019,Broad Acute Respiratory,11.03
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.11
2018,2018-2019,RSV,0.13
2018,2018-2019,ILI,1.82
2018,2018-2019,Broad Acute Respiratory,11.01
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.15
2018,2018-2019,RSV,0.15
2018,2018-2019,ILI,2.24
2018,2018-2019,Broad Acute Respiratory,11.58
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.12
2018,2018-2019,RSV,0.15
2018,2018-2019,ILI,2.28
2018,2018-2019,Broad Acute Respiratory,11.74
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.13
2018,2018-2019,RSV,0.20
2018,2018-2019,ILI,2.16
2018,2018-2019,Broad Acute Respiratory,11.11
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.14
2018,2018-2019,RSV,0.19
2018,2018-2019,ILI,2.15
2018,2018-2019,Broad Acute Respiratory,11.00
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.16
2018,2018-2019,RSV,0.35
2018,2018-2019,ILI,2.16
2018,2018-2019,Broad Acute Respiratory,12.01
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.31
2018,2018-2019,RSV,0.39
2018,2018-2019,ILI,2.57
2018,2018-2019,Broad Acute Respiratory,13.46
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.47
2018,2018-2019,RSV,0.49
2018,2018-2019,ILI,2.55
2018,2018-2019,Broad Acute Respiratory,16.30
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.88
2018,2018-2019,RSV,0.62
2018,2018-2019,ILI,3.35
2018,2018-2019,Broad Acute Respiratory,15.98
2018,2018-2019,COVID-19,0.00
2018,2018-2019,Influenza,0.92
2018,2018-2019,RSV,0.71
2018,2018-2019,ILI,3.18
2019,2018-2019,Broad Acute Respiratory,13.94
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.22
2019,2018-2019,RSV,0.44
2019,2018-2019,ILI,3.08
2019,2018-2019,Broad Acute Respiratory,14.30
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.55
2019,2018-2019,RSV,0.41
2019,2018-2019,ILI,3.11
2019,2018-2019,Broad Acute Respiratory,14.52
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.91
2019,2018-2019,RSV,0.33
2019,2018-2019,ILI,3.28
2019,2018-2019,Broad Acute Respiratory,14.04
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.97
2019,2018-2019,RSV,0.33
2019,2018-2019,ILI,3.12
2019,2018-2019,Broad Acute Respiratory,11.84
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.43
2019,2018-2019,RSV,0.21
2019,2018-2019,ILI,2.27
2019,2018-2019,Broad Acute Respiratory,12.40
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.57
2019,2018-2019,RSV,0.14
2019,2018-2019,ILI,2.63
2019,2018-2019,Broad Acute Respiratory,12.25
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.55
2019,2018-2019,RSV,0.16
2019,2018-2019,ILI,2.61
2019,2018-2019,Broad Acute Respiratory,12.95
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.62
2019,2018-2019,RSV,0.12
2019,2018-2019,ILI,2.89
2019,2018-2019,Broad Acute Respiratory,13.21
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.67
2019,2018-2019,RSV,0.11
2019,2018-2019,ILI,3.04
2019,2018-2019,Broad Acute Respiratory,13.01
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.79
2019,2018-2019,RSV,0.08
2019,2018-2019,ILI,3.09
2019,2018-2019,Broad Acute Respiratory,13.10
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.69
2019,2018-2019,RSV,0.08
2019,2018-2019,ILI,3.05
2019,2018-2019,Broad Acute Respiratory,13.47
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.84
2019,2018-2019,RSV,0.08
2019,2018-2019,ILI,3.11
2019,2018-2019,Broad Acute Respiratory,12.71
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.81
2019,2018-2019,RSV,0.04
2019,2018-2019,ILI,2.98
2019,2018-2019,Broad Acute Respiratory,12.01
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,1.34
2019,2018-2019,RSV,0.03
2019,2018-2019,ILI,2.52
2019,2018-2019,Broad Acute Respiratory,10.73
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.84
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,2.01
2019,2018-2019,Broad Acute Respiratory,10.03
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.57
2019,2018-2019,RSV,0.02
2019,2018-2019,ILI,1.75
2019,2018-2019,Broad Acute Respiratory,9.98
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.38
2019,2018-2019,RSV,0.02
2019,2018-2019,ILI,1.77
2019,2018-2019,Broad Acute Respiratory,9.72
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.27
2019,2018-2019,RSV,0.02
2019,2018-2019,ILI,1.64
2019,2018-2019,Broad Acute Respiratory,10.13
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.22
2019,2018-2019,RSV,0.02
2019,2018-2019,ILI,1.66
2019,2018-2019,Broad Acute Respiratory,9.80
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.14
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.58
2019,2018-2019,Broad Acute Respiratory,9.90
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.09
2019,2018-2019,RSV,0.02
2019,2018-2019,ILI,1.45
2019,2018-2019,Broad Acute Respiratory,9.02
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.06
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.30
2019,2018-2019,Broad Acute Respiratory,8.95
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.07
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.26
2019,2018-2019,Broad Acute Respiratory,8.33
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.07
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,1.25
2019,2018-2019,Broad Acute Respiratory,8.37
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.05
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,1.13
2019,2018-2019,Broad Acute Respiratory,7.58
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.03
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.05
2019,2018-2019,Broad Acute Respiratory,6.98
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.05
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.98
2019,2018-2019,Broad Acute Respiratory,6.40
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.02
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.85
2019,2018-2019,Broad Acute Respiratory,6.65
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.04
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.86
2019,2018-2019,Broad Acute Respiratory,6.48
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.02
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.73
2019,2018-2019,Broad Acute Respiratory,6.32
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.02
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.81
2019,2018-2019,Broad Acute Respiratory,6.50
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.03
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.88
2019,2018-2019,Broad Acute Respiratory,6.78
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.02
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,0.80
2019,2018-2019,Broad Acute Respiratory,7.37
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.04
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,0.96
2019,2018-2019,Broad Acute Respiratory,7.62
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.05
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.14
2019,2018-2019,Broad Acute Respiratory,8.68
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.04
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,1.43
2019,2018-2019,Broad Acute Respiratory,9.49
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.08
2019,2018-2019,RSV,0.01
2019,2018-2019,ILI,1.62
2019,2018-2019,Broad Acute Respiratory,9.74
2019,2018-2019,COVID-19,0.00
2019,2018-2019,Influenza,0.06
2019,2018-2019,RSV,0.00
2019,2018-2019,ILI,1.67
2019,2019-2020,Broad Acute Respiratory,13.32
2019,2019-2020,Broad Acute Respiratory,9.28
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.09
2019,2019-2020,Influenza,0.07
2019,2019-2020,RSV,0.00
2019,2019-2020,RSV,0.00
2019,2019-2020,ILI,0.53
2019,2019-2020,ILI,1.66
2019,2019-2020,Broad Acute Respiratory,14.49
2019,2019-2020,Broad Acute Respiratory,10.15
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.06
2019,2019-2020,Influenza,0.06
2019,2019-2020,RSV,0.02
2019,2019-2020,RSV,0.01
2019,2019-2020,ILI,0.48
2019,2019-2020,ILI,2.01
2019,2019-2020,Broad Acute Respiratory,14.16
2019,2019-2020,Broad Acute Respiratory,10.62
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.09
2019,2019-2020,Influenza,0.11
2019,2019-2020,RSV,0.04
2019,2019-2020,RSV,0.02
2019,2019-2020,ILI,0.46
2019,2019-2020,ILI,1.90
2019,2019-2020,Broad Acute Respiratory,14.25
2019,2019-2020,Broad Acute Respiratory,10.37
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.09
2019,2019-2020,Influenza,0.09
2019,2019-2020,RSV,0.07
2019,2019-2020,RSV,0.03
2019,2019-2020,ILI,0.95
2019,2019-2020,ILI,2.19
2019,2019-2020,Broad Acute Respiratory,14.18
2019,2019-2020,Broad Acute Respiratory,9.97
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.05
2019,2019-2020,Influenza,0.10
2019,2019-2020,RSV,0.07
2019,2019-2020,RSV,0.03
2019,2019-2020,ILI,0.98
2019,2019-2020,ILI,2.00
2019,2019-2020,Broad Acute Respiratory,14.02
2019,2019-2020,Broad Acute Respiratory,10.40
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.15
2019,2019-2020,Influenza,0.13
2019,2019-2020,RSV,0.15
2019,2019-2020,RSV,0.07
2019,2019-2020,ILI,0.72
2019,2019-2020,ILI,1.78
2019,2019-2020,Broad Acute Respiratory,12.88
2019,2019-2020,Broad Acute Respiratory,10.62
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.25
2019,2019-2020,Influenza,0.19
2019,2019-2020,RSV,0.13
2019,2019-2020,RSV,0.12
2019,2019-2020,ILI,0.67
2019,2019-2020,ILI,1.96
2019,2019-2020,Broad Acute Respiratory,12.73
2019,2019-2020,Broad Acute Respiratory,10.76
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.11
2019,2019-2020,Influenza,0.22
2019,2019-2020,RSV,0.40
2019,2019-2020,RSV,0.14
2019,2019-2020,ILI,0.53
2019,2019-2020,ILI,1.91
2019,2019-2020,Broad Acute Respiratory,14.82
2019,2019-2020,Broad Acute Respiratory,12.45
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.15
2019,2019-2020,Influenza,0.32
2019,2019-2020,RSV,0.31
2019,2019-2020,RSV,0.24
2019,2019-2020,ILI,0.65
2019,2019-2020,ILI,2.46
2019,2019-2020,Broad Acute Respiratory,14.73
2019,2019-2020,Broad Acute Respiratory,13.09
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.26
2019,2019-2020,Influenza,0.47
2019,2019-2020,RSV,0.71
2019,2019-2020,RSV,0.36
2019,2019-2020,ILI,0.90
2019,2019-2020,ILI,2.87
2019,2019-2020,Broad Acute Respiratory,15.46
2019,2019-2020,Broad Acute Respiratory,14.13
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,0.37
2019,2019-2020,Influenza,1.00
2019,2019-2020,RSV,0.80
2019,2019-2020,RSV,0.51
2019,2019-2020,ILI,1.18
2019,2019-2020,ILI,3.57
2019,2019-2020,Broad Acute Respiratory,16.19
2019,2019-2020,Broad Acute Respiratory,16.22
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,1.20
2019,2019-2020,Influenza,1.87
2019,2019-2020,RSV,1.20
2019,2019-2020,RSV,0.49
2019,2019-2020,ILI,1.37
2019,2019-2020,ILI,4.51
2019,2019-2020,Broad Acute Respiratory,18.37
2019,2019-2020,Broad Acute Respiratory,20.22
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,2.05
2019,2019-2020,Influenza,3.85
2019,2019-2020,RSV,1.33
2019,2019-2020,RSV,0.67
2019,2019-2020,ILI,1.67
2019,2019-2020,ILI,6.36
2019,2019-2020,Broad Acute Respiratory,19.90
2019,2019-2020,Broad Acute Respiratory,19.62
2019,2019-2020,COVID-19,0.00
2019,2019-2020,COVID-19,0.00
2019,2019-2020,Influenza,2.45
2019,2019-2020,Influenza,3.51
2019,2019-2020,RSV,1.71
2019,2019-2020,RSV,0.73
2019,2019-2020,ILI,1.86
2019,2019-2020,ILI,6.05
2020,2019-2020,Broad Acute Respiratory,17.12
2020,2019-2020,Broad Acute Respiratory,17.55
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,2.36
2020,2019-2020,Influenza,3.28
2020,2019-2020,RSV,1.20
2020,2019-2020,RSV,0.52
2020,2019-2020,ILI,1.73
2020,2019-2020,ILI,5.55
2020,2019-2020,Broad Acute Respiratory,16.96
2020,2019-2020,Broad Acute Respiratory,17.35
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,2.25
2020,2019-2020,Influenza,4.07
2020,2019-2020,RSV,0.79
2020,2019-2020,RSV,0.41
2020,2019-2020,ILI,1.93
2020,2019-2020,ILI,5.60
2020,2019-2020,Broad Acute Respiratory,17.81
2020,2019-2020,Broad Acute Respiratory,18.38
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,2.75
2020,2019-2020,Influenza,4.89
2020,2019-2020,RSV,0.70
2020,2019-2020,RSV,0.36
2020,2019-2020,ILI,1.68
2020,2019-2020,ILI,6.22
2020,2019-2020,Broad Acute Respiratory,17.53
2020,2019-2020,Broad Acute Respiratory,19.49
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,3.15
2020,2019-2020,Influenza,5.65
2020,2019-2020,RSV,0.41
2020,2019-2020,RSV,0.28
2020,2019-2020,ILI,2.03
2020,2019-2020,ILI,7.11
2020,2019-2020,Broad Acute Respiratory,19.19
2020,2019-2020,Broad Acute Respiratory,19.55
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,3.92
2020,2019-2020,Influenza,5.75
2020,2019-2020,RSV,0.48
2020,2019-2020,RSV,0.22
2020,2019-2020,ILI,2.38
2020,2019-2020,ILI,6.81
2020,2019-2020,Broad Acute Respiratory,18.26
2020,2019-2020,Broad Acute Respiratory,18.65
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,4.34
2020,2019-2020,Influenza,5.43
2020,2019-2020,RSV,0.44
2020,2019-2020,RSV,0.20
2020,2019-2020,ILI,2.20
2020,2019-2020,ILI,6.16
2020,2019-2020,Broad Acute Respiratory,18.67
2020,2019-2020,Broad Acute Respiratory,18.27
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,3.50
2020,2019-2020,Influenza,5.20
2020,2019-2020,RSV,0.35
2020,2019-2020,RSV,0.16
2020,2019-2020,ILI,1.85
2020,2019-2020,ILI,6.27
2020,2019-2020,Broad Acute Respiratory,18.04
2020,2019-2020,Broad Acute Respiratory,17.22
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,3.77
2020,2019-2020,Influenza,4.55
2020,2019-2020,RSV,0.16
2020,2019-2020,RSV,0.11
2020,2019-2020,ILI,1.87
2020,2019-2020,ILI,5.24
2020,2019-2020,Broad Acute Respiratory,18.41
2020,2019-2020,Broad Acute Respiratory,17.39
2020,2019-2020,COVID-19,0.00
2020,2019-2020,COVID-19,0.00
2020,2019-2020,Influenza,3.02
2020,2019-2020,Influenza,3.95
2020,2019-2020,RSV,0.35
2020,2019-2020,RSV,0.13
2020,2019-2020,ILI,1.87
2020,2019-2020,ILI,5.58
2020,2019-2020,Broad Acute Respiratory,18.65
2020,2019-2020,Broad Acute Respiratory,20.40
2020,2019-2020,COVID-19,0.14
2020,2019-2020,COVID-19,0.02
2020,2019-2020,Influenza,2.51
2020,2019-2020,Influenza,2.99
2020,2019-2020,RSV,0.33
2020,2019-2020,RSV,0.16
2020,2019-2020,ILI,1.95
2020,2019-2020,ILI,6.33
2020,2019-2020,Broad Acute Respiratory,20.70
2020,2019-2020,Broad Acute Respiratory,24.63
2020,2019-2020,COVID-19,1.09
2020,2019-2020,COVID-19,0.21
2020,2019-2020,Influenza,1.16
2020,2019-2020,Influenza,1.25
2020,2019-2020,RSV,0.20
2020,2019-2020,RSV,0.07
2020,2019-2020,ILI,3.26
2020,2019-2020,ILI,7.51
2020,2019-2020,Broad Acute Respiratory,29.20
2020,2019-2020,Broad Acute Respiratory,26.92
2020,2019-2020,COVID-19,6.85
2020,2019-2020,COVID-19,1.70
2020,2019-2020,Influenza,0.57
2020,2019-2020,Influenza,0.41
2020,2019-2020,RSV,0.13
2020,2019-2020,RSV,0.05
2020,2019-2020,ILI,4.68
2020,2019-2020,ILI,6.45
2020,2019-2020,Broad Acute Respiratory,34.11
2020,2019-2020,Broad Acute Respiratory,26.82
2020,2019-2020,COVID-19,16.44
2020,2019-2020,COVID-19,5.06
2020,2019-2020,Influenza,0.27
2020,2019-2020,Influenza,0.27
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.01
2020,2019-2020,ILI,4.69
2020,2019-2020,ILI,6.61
2020,2019-2020,Broad Acute Respiratory,33.52
2020,2019-2020,Broad Acute Respiratory,24.43
2020,2019-2020,COVID-19,18.65
2020,2019-2020,COVID-19,7.34
2020,2019-2020,Influenza,0.26
2020,2019-2020,Influenza,0.16
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.01
2020,2019-2020,ILI,3.84
2020,2019-2020,ILI,4.91
2020,2019-2020,Broad Acute Respiratory,31.60
2020,2019-2020,Broad Acute Respiratory,22.73
2020,2019-2020,COVID-19,18.27
2020,2019-2020,COVID-19,8.18
2020,2019-2020,Influenza,0.14
2020,2019-2020,Influenza,0.17
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,3.19
2020,2019-2020,ILI,4.73
2020,2019-2020,Broad Acute Respiratory,31.03
2020,2019-2020,Broad Acute Respiratory,22.14
2020,2019-2020,COVID-19,18.81
2020,2019-2020,COVID-19,8.95
2020,2019-2020,Influenza,0.11
2020,2019-2020,Influenza,0.07
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,2.52
2020,2019-2020,ILI,4.12
2020,2019-2020,Broad Acute Respiratory,30.90
2020,2019-2020,Broad Acute Respiratory,21.06
2020,2019-2020,COVID-19,19.46
2020,2019-2020,COVID-19,10.00
2020,2019-2020,Influenza,0.09
2020,2019-2020,Influenza,0.10
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,2.54
2020,2019-2020,ILI,3.43
2020,2019-2020,Broad Acute Respiratory,28.17
2020,2019-2020,Broad Acute Respiratory,19.14
2020,2019-2020,COVID-19,16.93
2020,2019-2020,COVID-19,9.42
2020,2019-2020,Influenza,0.06
2020,2019-2020,Influenza,0.03
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,2.09
2020,2019-2020,ILI,2.92
2020,2019-2020,Broad Acute Respiratory,26.56
2020,2019-2020,Broad Acute Respiratory,17.28
2020,2019-2020,COVID-19,15.31
2020,2019-2020,COVID-19,8.18
2020,2019-2020,Influenza,0.07
2020,2019-2020,Influenza,0.03
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,1.76
2020,2019-2020,ILI,2.58
2020,2019-2020,Broad Acute Respiratory,22.94
2020,2019-2020,Broad Acute Respiratory,14.72
2020,2019-2020,COVID-19,12.44
2020,2019-2020,COVID-19,6.65
2020,2019-2020,Influenza,0.03
2020,2019-2020,Influenza,0.05
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,1.60
2020,2019-2020,ILI,2.35
2020,2019-2020,Broad Acute Respiratory,19.44
2020,2019-2020,Broad Acute Respiratory,11.61
2020,2019-2020,COVID-19,9.17
2020,2019-2020,COVID-19,4.75
2020,2019-2020,Influenza,0.02
2020,2019-2020,Influenza,0.02
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,1.13
2020,2019-2020,ILI,1.61
2020,2019-2020,Broad Acute Respiratory,15.65
2020,2019-2020,Broad Acute Respiratory,9.09
2020,2019-2020,COVID-19,5.88
2020,2019-2020,COVID-19,3.07
2020,2019-2020,Influenza,0.07
2020,2019-2020,Influenza,0.06
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.01
2020,2019-2020,ILI,0.76
2020,2019-2020,ILI,1.25
2020,2019-2020,Broad Acute Respiratory,13.28
2020,2019-2020,Broad Acute Respiratory,7.41
2020,2019-2020,COVID-19,4.22
2020,2019-2020,COVID-19,1.93
2020,2019-2020,Influenza,0.00
2020,2019-2020,Influenza,0.01
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,0.60
2020,2019-2020,ILI,1.07
2020,2019-2020,Broad Acute Respiratory,12.71
2020,2019-2020,Broad Acute Respiratory,6.97
2020,2019-2020,COVID-19,3.83
2020,2019-2020,COVID-19,1.68
2020,2019-2020,Influenza,0.02
2020,2019-2020,Influenza,0.01
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,0.62
2020,2019-2020,ILI,1.28
2020,2019-2020,Broad Acute Respiratory,12.61
2020,2019-2020,Broad Acute Respiratory,7.18
2020,2019-2020,COVID-19,2.72
2020,2019-2020,COVID-19,1.26
2020,2019-2020,Influenza,0.02
2020,2019-2020,Influenza,0.01
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,0.52
2020,2019-2020,ILI,1.06
2020,2019-2020,Broad Acute Respiratory,12.16
2020,2019-2020,Broad Acute Respiratory,7.27
2020,2019-2020,COVID-19,2.77
2020,2019-2020,COVID-19,1.52
2020,2019-2020,Influenza,0.02
2020,2019-2020,Influenza,0.01
2020,2019-2020,RSV,0.00
2020,2019-2020,RSV,0.00
2020,2019-2020,ILI,0.57
2020,2019-2020,ILI,0.93
2020,2019-2020,Broad Acute Respiratory,11.42
2020,2019-2020,Broad Acute Respiratory,7.50
2020,2019-2020,COVID-19,2.13
2020,2019-2020,COVID-19,1.39
2020,2019-2020,Influenza,0.07
2020,2019-2020,Influenza,0.03
2020,2019-2020,RSV,0.02
2020,2019-2020,RSV,0.01
2020,2019-2020,ILI,0.40
2020,2019-2020,ILI,0.92
2020,2019-2020,Broad Acute Respiratory,11.50
