event_year,event_season,respiratory_category,percent
2016,2015-2016,Broad Acute Respiratory,5.58
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.05
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.22
2016,2015-2016,Broad Acute Respiratory,5.29
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.03
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.13
2016,2015-2016,Broad Acute Respiratory,5.17
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.03
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.07
2016,2015-2016,Broad Acute Respiratory,4.86
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.01
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.23
2016,2015-2016,Broad Acute Respiratory,5.06
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.02
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.08
2016,2015-2016,Broad Acute Respiratory,4.99
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.03
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.95
2016,2015-2016,Broad Acute Respiratory,4.58
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.01
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,1.03
2016,2015-2016,Broad Acute Respiratory,4.47
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.01
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.99
2016,2015-2016,Broad Acute Respiratory,4.26
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.00
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.90
2016,2015-2016,Broad Acute Respiratory,4.18
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.00
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.80
2016,2015-2016,Broad Acute Respiratory,4.28
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.00
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.73
2016,2015-2016,Broad Acute Respiratory,4.56
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.02
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.87
2016,2015-2016,Broad Acute Respiratory,4.75
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.01
2016,2015-2016,RSV,0.00
2016,2015-2016,ILI,0.89
2016,2015-2016,Broad Acute Respiratory,4.90
2016,2015-2016,COVID-19,0.00
2016,2015-2016,Influenza,0.01
