season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2025-2026,Broad Acute Respiratory,Admissions,00_04,11.875952,19.88,2.61
2016-2017,Influenza,ED Visits,00_04,0.769231,4.06,0.00
2022-2023,RSV,ED Visits,65+,0.064231,0.39,0.00
2016-2017,COVID-19,ED Visits,18_44,0.000000,0.00,0.00
2021-2022,COVID-19,Admissions,00_04,0.650962,3.31,0.00
2023-2024,ILI,Admissions,05_17,0.815577,2.96,0.00
2019-2020,Broad Acute Respiratory,ED Visits,65+,13.982692,31.31,8.45
2017-2018,ILI,ED Visits,18_44,1.740385,4.97,0.54
2020-2021,RSV,Admissions,00_04,0.556346,3.67,0.00
2019-2020,ILI,Admissions,45_64,1.775000,7.67,0.34
2024-2025,Influenza,Admissions,18_44,0.500962,2.35,0.00
2022-2023,Influenza,ED Visits,00_04,2.310000,18.63,0.07
2021-2022,Influenza,Admissions,65+,0.168269,0.76,0.00
2019-2020,COVID-19,ED Visits,65+,2.894615,14.87,0.00
2015-2016,Broad Acute Respiratory,ED Visits,45_64,3.708462,6.26,2.18
2025-2026,Influenza,ED Visits,45_64,0.570714,4.15,0.00
2020-2021,Influenza,ED Visits,18_44,0.037885,0.18,0.00
2021-2022,ILI,ED Visits,00_04,4.115385,6.27,1.84
2022-2023,Broad Acute Respiratory,ED Visits,65+,12.373654,20.53,8.51
2025-2026,RSV,Admissions,45_64,0.162143,0.79,0.00
2022-2023,ILI,ED Visits,65+,0.711346,2.41,0.14
2021-2022,COVID-19,ED Visits,00_04,3.237885,16.68,0.33
2025-2026,RSV,Admissions,00_04,1.841905,5.65,0.00
2022-2023,Broad Acute Respiratory,Admissions,45_64,15.083077,24.38,10.52
2025-2026,COVID-19,Admissions,00_04,0.257143,1.48,0.00
2020-2021,RSV,ED Visits,45_64,0.008077,0.07,0.00
2020-2021,Broad Acute Respiratory,Admissions,05_17,11.014038,20.18,2.67
2021-2022,RSV,ED Visits,45_64,0.018654,0.08,0.00
2021-2022,COVID-19,ED Visits,45_64,3.302692,19.14,0.31
2025-2026,RSV,ED Visits,45_64,0.089286,0.33,0.00
2023-2024,RSV,ED Visits,00_04,2.140192,9.76,0.00
2023-2024,RSV,ED Visits,18_44,0.042308,0.23,0.00
2019-2020,Influenza,Admissions,18_44,0.600769,3.06,0.00
2015-2016,RSV,ED Visits,18_44,0.001154,0.01,0.00
2023-2024,COVID-19,ED Visits,65+,2.108077,5.30,0.43
2023-2024,Broad Acute Respiratory,ED Visits,18_44,8.390192,15.91,4.91
2018-2019,ILI,ED Visits,05_17,4.386346,7.70,1.88
2023-2024,RSV,Admissions,05_17,0.408462,3.88,0.00
2023-2024,Influenza,ED Visits,65+,0.637308,3.68,0.00
2024-2025,RSV,Admissions,45_64,0.154808,0.83,0.00
2024-2025,Broad Acute Respiratory,Admissions,00_04,12.022500,27.04,4.85
2019-2020,Broad Acute Respiratory,Admissions,18_44,9.447308,19.75,5.84
2015-2016,ILI,ED Visits,00_04,7.441538,13.63,3.27
2020-2021,ILI,ED Visits,65+,0.438654,1.21,0.05
2017-2018,Influenza,ED Visits,65+,0.746346,4.18,0.00
2021-2022,RSV,Admissions,45_64,0.041154,0.25,0.00
2023-2024,Influenza,Admissions,65+,0.820769,4.51,0.00
2024-2025,COVID-19,Admissions,65+,1.155577,2.87,0.05
2016-2017,Influenza,ED Visits,18_44,0.280192,1.32,0.00
