season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2021-2022,ILI,ED Visits,05_17,2.585769,5.77,0.34
2020-2021,Broad Acute Respiratory,Admissions,18_44,7.931538,13.33,4.34
2015-2016,COVID-19,ED Visits,00_04,0.000000,0.00,0.00
2016-2017,Broad Acute Respiratory,ED Visits,65+,7.333654,11.27,4.39
2016-2017,ILI,ED Visits,45_64,0.911923,2.26,0.30
2015-2016,Influenza,ED Visits,00_04,0.335385,2.50,0.00
2022-2023,COVID-19,ED Visits,65+,2.495962,5.85,0.36
2021-2022,Influenza,Admissions,45_64,0.129231,0.64,0.00
2024-2025,RSV,Admissions,65+,0.166731,0.89,0.00
2022-2023,ILI,ED Visits,45_64,0.851346,2.62,0.26
2020-2021,Broad Acute Respiratory,ED Visits,45_64,9.455000,17.35,5.08
2024-2025,Influenza,Admissions,05_17,2.329231,11.98,0.00
2023-2024,Broad Acute Respiratory,Admissions,00_04,11.869423,24.23,4.82
2022-2023,Influenza,ED Visits,65+,0.504038,4.24,0.00
2018-2019,RSV,ED Visits,05_17,0.030192,0.25,0.00
2019-2020,ILI,ED Visits,65+,1.708077,5.86,0.48
2022-2023,RSV,Admissions,18_44,0.037885,0.25,0.00
2019-2020,RSV,ED Visits,45_64,0.033077,0.19,0.00
2022-2023,Influenza,Admissions,00_04,0.340385,3.20,0.00
2020-2021,ILI,ED Visits,05_17,1.796538,3.77,0.39
2019-2020,Broad Acute Respiratory,Admissions,65+,23.109231,46.19,15.26
2023-2024,ILI,ED Visits,65+,0.738846,1.79,0.24
2019-2020,ILI,ED Visits,45_64,2.273846,7.27,0.57
2021-2022,COVID-19,Admissions,05_17,2.985192,17.11,0.00
2024-2025,Broad Acute Respiratory,ED Visits,05_17,20.194615,38.15,8.67
2019-2020,Influenza,ED Visits,05_17,2.640000,14.69,0.00
2023-2024,RSV,ED Visits,05_17,0.171538,1.03,0.00
2023-2024,RSV,ED Visits,45_64,0.078846,0.42,0.00
2023-2024,ILI,Admissions,18_44,0.503846,1.33,0.12
2017-2018,RSV,ED Visits,45_64,0.024038,0.14,0.00
2025-2026,RSV,ED Visits,05_17,0.235000,0.76,0.00
2021-2022,Broad Acute Respiratory,Admissions,18_44,7.529231,23.87,4.12
2020-2021,Broad Acute Respiratory,ED Visits,00_04,27.651923,39.16,15.23
2022-2023,ILI,Admissions,00_04,0.500769,2.56,0.00
2021-2022,COVID-19,ED Visits,65+,4.733269,23.40,0.72
2018-2019,COVID-19,ED Visits,18_44,0.000000,0.00,0.00
2022-2023,Influenza,Admissions,65+,0.595192,4.60,0.00
2020-2021,COVID-19,Admissions,00_04,0.215000,1.02,0.00
2024-2025,Broad Acute Respiratory,ED Visits,00_04,35.209038,52.56,17.77
2022-2023,Broad Acute Respiratory,ED Visits,00_04,36.401154,53.87,22.12
2021-2022,COVID-19,Admissions,18_44,3.338077,20.01,0.44
2023-2024,RSV,ED Visits,65+,0.129615,0.55,0.00
2024-2025,COVID-19,Admissions,18_44,0.331923,0.82,0.00
2023-2024,Influenza,Admissions,18_44,0.391731,2.68,0.00
2023-2024,COVID-19,ED Visits,18_44,0.874423,2.01,0.17
2020-2021,COVID-19,ED Visits,45_64,3.735385,10.12,0.27
2021-2022,Broad Acute Respiratory,ED Visits,00_04,34.636154,49.92,25.56
2025-2026,COVID-19,Admissions,18_44,0.290952,1.21,0.00
2024-2025,Influenza,ED Visits,45_64,0.951538,4.51,0.02
2015-2016,ILI,ED Visits,18_44,1.259615,3.33,0.40
2019-2020,ILI,ED Visits,05_17,5.780385,16.97,0.77
2019-2020,Influenza,ED Visits,00_04,3.207308,16.75,0.00
2020-2021,Influenza,Admissions,00_04,0.007885,0.22,0.00
2023-2024,COVID-19,ED Visits,00_04,2.391731,6.02,0.37
2023-2024,COVID-19,Admissions,05_17,0.818654,4.14,0.00
2021-2022,Broad Acute Respiratory,Admissions,45_64,16.752500,41.55,11.53
2023-2024,COVID-19,Admissions,65+,2.635000,6.90,0.43
2020-2021,Influenza,ED Visits,45_64,0.031731,0.14,0.00
2020-2021,ILI,ED Visits,00_04,3.369615,5.93,1.08
2019-2020,COVID-19,ED Visits,18_44,1.358654,7.39,0.00
