season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2016-2017,Influenza,ED Visits,Asian Non-Hispanic,0.918654,4.79,0.00
2020-2021,ILI,Admissions,Black Non-Hispanic,0.427692,1.03,0.09
2024-2025,COVID-19,ED Visits,Asian Non-Hispanic,0.762692,1.85,0.00
2023-2024,COVID-19,ED Visits,Black Non-Hispanic,1.152500,2.82,0.22
2021-2022,Broad Acute Respiratory,Admissions,White Non-Hispanic,14.346538,31.69,9.91
2023-2024,ILI,ED Visits,Asian Non-Hispanic,1.775000,4.79,0.23
2015-2016,RSV,ED Visits,Unknown Race/Ethnicity,0.026538,0.14,0.00
2023-2024,RSV,Admissions,White Non-Hispanic,0.248654,1.29,0.00
2022-2023,Broad Acute Respiratory,ED Visits,White Non-Hispanic,10.862500,20.47,6.63
2022-2023,Influenza,Admissions,Black Non-Hispanic,0.553269,4.70,0.00
2023-2024,COVID-19,Admissions,White Non-Hispanic,1.721923,4.78,0.27
2025-2026,RSV,Admissions,Hispanic or Latino,0.485476,1.32,0.00
2020-2021,COVID-19,Admissions,Hispanic or Latino,7.833654,26.99,0.44
2022-2023,ILI,Admissions,White Non-Hispanic,0.369808,1.06,0.07
2023-2024,RSV,ED Visits,Asian Non-Hispanic,0.351154,2.26,0.00
2025-2026,RSV,ED Visits,Black Non-Hispanic,0.212143,0.66,0.00
2025-2026,Broad Acute Respiratory,Admissions,White Non-Hispanic,14.228571,21.44,9.37
2024-2025,Influenza,Admissions,Other Race/Ethnicity,0.998654,6.15,0.00
2015-2016,Influenza,ED Visits,Other Race/Ethnicity,0.241731,1.47,0.00
2022-2023,Influenza,Admissions,Hispanic or Latino,0.557308,5.10,0.00
2022-2023,ILI,ED Visits,Asian Non-Hispanic,1.408077,5.18,0.00
2023-2024,Influenza,ED Visits,White Non-Hispanic,0.841538,3.85,0.02
2020-2021,Influenza,ED Visits,Asian Non-Hispanic,0.077308,0.56,0.00
2021-2022,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,12.180962,27.95,7.18
2023-2024,RSV,Admissions,Hispanic or Latino,0.496154,2.87,0.00
2015-2016,COVID-19,ED Visits,Asian Non-Hispanic,0.000000,0.00,0.00
2019-2020,Influenza,ED Visits,White Non-Hispanic,0.856154,4.36,0.00
2019-2020,ILI,ED Visits,Hispanic or Latino,4.392500,9.68,0.98
2021-2022,Influenza,ED Visits,Hispanic or Latino,0.365769,1.73,0.00
2020-2021,RSV,Admissions,Asian Non-Hispanic,0.038462,0.76,0.00
2022-2023,RSV,Admissions,Asian Non-Hispanic,0.265385,1.99,0.00
2024-2025,Influenza,ED Visits,Asian Non-Hispanic,2.109038,13.43,0.00
2017-2018,ILI,ED Visits,Other Race/Ethnicity,2.725385,10.00,0.59
2018-2019,Influenza,ED Visits,White Non-Hispanic,0.484615,1.67,0.00
2021-2022,Influenza,ED Visits,Other Race/Ethnicity,0.346923,1.66,0.00
2023-2024,Broad Acute Respiratory,Admissions,Hispanic or Latino,13.021346,22.36,8.29
2024-2025,COVID-19,ED Visits,Hispanic or Latino,0.643269,1.42,0.06
2020-2021,COVID-19,ED Visits,Unknown Race/Ethnicity,3.132885,9.30,0.15
2023-2024,ILI,ED Visits,White Non-Hispanic,1.042692,2.31,0.34
2019-2020,RSV,Admissions,Black Non-Hispanic,0.195192,1.22,0.00
2022-2023,Influenza,ED Visits,Other Race/Ethnicity,1.067500,9.78,0.00
2020-2021,Influenza,Admissions,White Non-Hispanic,0.039231,0.16,0.00
2023-2024,RSV,ED Visits,Unknown Race/Ethnicity,0.248269,1.59,0.00
2024-2025,RSV,ED Visits,Asian Non-Hispanic,0.234231,1.42,0.00
2018-2019,ILI,ED Visits,White Non-Hispanic,1.440962,2.63,0.42
2024-2025,Influenza,Admissions,Asian Non-Hispanic,0.915000,6.10,0.00
2024-2025,ILI,ED Visits,Hispanic or Latino,1.750577,4.67,0.46
2017-2018,Influenza,ED Visits,Hispanic or Latino,1.540000,9.76,0.00
2023-2024,Broad Acute Respiratory,ED Visits,White Non-Hispanic,10.736346,17.45,7.20
2024-2025,COVID-19,Admissions,Black Non-Hispanic,0.790385,2.18,0.13
2024-2025,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,11.733654,22.34,5.91
2023-2024,RSV,ED Visits,White Non-Hispanic,0.250385,1.16,0.00
2021-2022,RSV,Admissions,Hispanic or Latino,0.153654,0.70,0.00
2025-2026,ILI,ED Visits,White Non-Hispanic,1.198810,3.39,0.29
2025-2026,RSV,ED Visits,Other Race/Ethnicity,0.375714,1.29,0.00
2025-2026,ILI,ED Visits,Black Non-Hispanic,1.631667,5.40,0.31
2018-2019,RSV,ED Visits,Unknown Race/Ethnicity,0.216923,2.00,0.00
2025-2026,ILI,Admissions,Unknown Race/Ethnicity,0.426905,1.51,0.00
2024-2025,ILI,Admissions,Black Non-Hispanic,0.723654,2.27,0.12
2022-2023,RSV,ED Visits,Other Race/Ethnicity,0.255385,2.33,0.00
2022-2023,ILI,Admissions,Unknown Race/Ethnicity,0.272500,1.82,0.00
2024-2025,Influenza,Admissions,Unknown Race/Ethnicity,0.630192,4.15,0.00
2015-2016,RSV,ED Visits,Hispanic or Latino,0.083846,0.56,0.00
2019-2020,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,14.692115,31.03,6.53
2024-2025,RSV,ED Visits,Hispanic or Latino,0.353269,2.33,0.00
2024-2025,COVID-19,Admissions,Other Race/Ethnicity,0.624423,2.67,0.00
2018-2019,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,10.819423,15.10,6.55
2019-2020,RSV,ED Visits,Unknown Race/Ethnicity,0.097885,0.64,0.00
2025-2026,COVID-19,ED Visits,White Non-Hispanic,0.486905,1.77,0.05
2016-2017,RSV,ED Visits,Hispanic or Latino,0.106346,0.50,0.00
2016-2017,RSV,ED Visits,Unknown Race/Ethnicity,0.016538,0.14,0.00
2018-2019,COVID-19,ED Visits,Hispanic or Latino,0.000000,0.00,0.00
2019-2020,COVID-19,Admissions,Black Non-Hispanic,3.747308,22.45,0.00
2022-2023,RSV,ED Visits,Black Non-Hispanic,0.129038,0.94,0.00
2021-2022,RSV,Admissions,Unknown Race/Ethnicity,0.093269,0.76,0.00
2018-2019,COVID-19,ED Visits,White Non-Hispanic,0.000000,0.00,0.00
2020-2021,Broad Acute Respiratory,Admissions,Asian Non-Hispanic,11.356538,25.42,3.57
2016-2017,ILI,ED Visits,Asian Non-Hispanic,2.422885,7.80,0.00
2017-2018,Broad Acute Respiratory,ED Visits,Hispanic or Latino,12.770962,26.39,6.58
2019-2020,COVID-19,ED Visits,White Non-Hispanic,1.276731,7.22,0.00
2020-2021,Broad Acute Respiratory,ED Visits,White Non-Hispanic,9.159423,15.14,6.27
2019-2020,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,14.943846,35.80,4.70
2020-2021,ILI,ED Visits,Black Non-Hispanic,0.991346,1.63,0.42
2023-2024,RSV,ED Visits,Other Race/Ethnicity,0.400000,1.93,0.00
2021-2022,Influenza,Admissions,Hispanic or Latino,0.152500,0.81,0.00
2015-2016,RSV,ED Visits,Asian Non-Hispanic,0.061731,1.00,0.00
2025-2026,ILI,Admissions,Hispanic or Latino,0.461190,2.26,0.00
2022-2023,ILI,ED Visits,Hispanic or Latino,2.042308,6.97,0.56
2024-2025,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,8.935577,15.20,4.18
2024-2025,RSV,ED Visits,Other Race/Ethnicity,0.283846,2.48,0.00
2023-2024,RSV,ED Visits,Hispanic or Latino,0.360769,1.59,0.00
2023-2024,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,12.577308,21.88,7.22
2020-2021,COVID-19,Admissions,Black Non-Hispanic,5.239231,12.79,0.52
2024-2025,Influenza,Admissions,Hispanic or Latino,0.999231,4.78,0.00
2024-2025,RSV,Admissions,Black Non-Hispanic,0.260577,1.48,0.00
2024-2025,ILI,Admissions,White Non-Hispanic,0.414038,1.62,0.06
2023-2024,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,12.219423,22.09,6.18
2025-2026,RSV,ED Visits,Unknown Race/Ethnicity,0.193333,0.79,0.00
2023-2024,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,13.375385,22.22,4.64
2015-2016,RSV,ED Visits,Other Race/Ethnicity,0.020577,0.25,0.00
2019-2020,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,16.737115,35.00,8.14
2021-2022,ILI,ED Visits,Other Race/Ethnicity,1.160577,3.20,0.33
2015-2016,Influenza,ED Visits,Asian Non-Hispanic,0.269038,3.03,0.00
2025-2026,Influenza,ED Visits,Black Non-Hispanic,1.064048,7.80,0.00
2024-2025,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,11.985385,20.67,6.13
2021-2022,Broad Acute Respiratory,Admissions,Black Non-Hispanic,16.755577,42.05,11.93
2022-2023,RSV,ED Visits,Hispanic or Latino,0.358269,2.28,0.00
2020-2021,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,14.287692,26.49,5.83
2016-2017,COVID-19,ED Visits,Hispanic or Latino,0.000000,0.00,0.00
2021-2022,COVID-19,ED Visits,Hispanic or Latino,3.145962,17.09,0.17
2023-2024,COVID-19,ED Visits,White Non-Hispanic,1.430769,3.54,0.27
2017-2018,ILI,ED Visits,Asian Non-Hispanic,2.229808,6.72,0.47
2015-2016,COVID-19,ED Visits,Hispanic or Latino,0.000000,0.00,0.00
2024-2025,Influenza,Admissions,White Non-Hispanic,0.877115,5.24,0.00
2021-2022,COVID-19,Admissions,Unknown Race/Ethnicity,2.679615,18.29,0.00
2021-2022,ILI,ED Visits,Hispanic or Latino,1.356154,2.76,0.36
2018-2019,Influenza,ED Visits,Asian Non-Hispanic,0.837885,3.05,0.00
2019-2020,RSV,ED Visits,Black Non-Hispanic,0.080769,0.45,0.00
2017-2018,Influenza,ED Visits,Other Race/Ethnicity,1.722308,11.44,0.00
2023-2024,Broad Acute Respiratory,ED Visits,Hispanic or Latino,14.451731,26.43,8.05
2019-2020,COVID-19,ED Visits,Unknown Race/Ethnicity,2.002115,14.02,0.00
2020-2021,RSV,Admissions,White Non-Hispanic,0.049615,0.36,0.00
2022-2023,Influenza,ED Visits,Asian Non-Hispanic,1.228077,9.94,0.00
2023-2024,ILI,Admissions,Black Non-Hispanic,0.643269,1.57,0.05
2024-2025,COVID-19,Admissions,Hispanic or Latino,0.548846,1.36,0.00
2015-2016,Influenza,ED Visits,Black Non-Hispanic,0.180385,1.13,0.00
2020-2021,RSV,Admissions,Black Non-Hispanic,0.094423,0.69,0.00
2022-2023,RSV,Admissions,Other Race/Ethnicity,0.274615,2.26,0.00
2018-2019,Influenza,ED Visits,Other Race/Ethnicity,0.936346,3.30,0.00
2016-2017,ILI,ED Visits,Black Non-Hispanic,1.789423,3.61,0.59
2020-2021,RSV,Admissions,Hispanic or Latino,0.056154,0.52,0.00
2022-2023,RSV,Admissions,Black Non-Hispanic,0.180000,1.10,0.00
2024-2025,COVID-19,ED Visits,White Non-Hispanic,0.638462,1.63,0.14
2020-2021,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,11.440769,23.16,3.30
2017-2018,RSV,ED Visits,Unknown Race/Ethnicity,0.146154,0.80,0.00
2021-2022,ILI,Admissions,Other Race/Ethnicity,0.226923,1.58,0.00
2024-2025,RSV,ED Visits,Unknown Race/Ethnicity,0.168846,1.32,0.00
2023-2024,Influenza,Admissions,White Non-Hispanic,0.532308,2.99,0.00
2025-2026,Influenza,Admissions,Black Non-Hispanic,0.860238,5.72,0.00
2016-2017,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,9.276346,13.84,4.46
2020-2021,ILI,Admissions,Hispanic or Latino,0.552692,1.91,0.00
2017-2018,ILI,ED Visits,Black Non-Hispanic,2.440962,7.25,0.71
2020-2021,Influenza,ED Visits,Unknown Race/Ethnicity,0.035577,0.18,0.00
2025-2026,Influenza,ED Visits,Hispanic or Latino,1.874524,12.44,0.00
2025-2026,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,10.906667,21.19,5.07
2024-2025,Influenza,ED Visits,Hispanic or Latino,2.052885,9.04,0.00
2020-2021,ILI,Admissions,Asian Non-Hispanic,0.257885,1.89,0.00
2022-2023,Influenza,Admissions,Other Race/Ethnicity,0.486154,4.39,0.00
2024-2025,RSV,Admissions,White Non-Hispanic,0.280769,1.99,0.00
2016-2017,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,11.041346,19.04,5.47
2018-2019,ILI,ED Visits,Black Non-Hispanic,1.857885,3.10,0.63
2023-2024,COVID-19,ED Visits,Unknown Race/Ethnicity,0.911154,2.56,0.00
2024-2025,ILI,ED Visits,Unknown Race/Ethnicity,1.723077,4.70,0.48
2019-2020,RSV,Admissions,White Non-Hispanic,0.231346,1.81,0.00
2022-2023,RSV,ED Visits,Asian Non-Hispanic,0.365577,2.94,0.00
2024-2025,Broad Acute Respiratory,Admissions,Hispanic or Latino,12.777692,20.69,8.14
2022-2023,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,8.354423,13.08,4.27
2016-2017,Influenza,ED Visits,Black Non-Hispanic,0.258077,1.50,0.00
2021-2022,ILI,ED Visits,Unknown Race/Ethnicity,0.843077,2.24,0.15
2023-2024,ILI,Admissions,Hispanic or Latino,0.577692,1.27,0.08
2019-2020,ILI,Admissions,White Non-Hispanic,1.121923,3.60,0.21
2018-2019,Influenza,ED Visits,Black Non-Hispanic,0.472500,1.80,0.00
2018-2019,RSV,ED Visits,Other Race/Ethnicity,0.210192,1.78,0.00
2023-2024,Influenza,ED Visits,Unknown Race/Ethnicity,1.040000,5.25,0.00
2025-2026,Broad Acute Respiratory,Admissions,Black Non-Hispanic,15.918571,24.49,8.28
2023-2024,RSV,Admissions,Black Non-Hispanic,0.259231,1.24,0.00
2019-2020,RSV,ED Visits,Other Race/Ethnicity,0.134423,1.20,0.00
2019-2020,Influenza,Admissions,Unknown Race/Ethnicity,0.877692,4.45,0.00
2022-2023,Broad Acute Respiratory,ED Visits,Hispanic or Latino,14.349038,30.67,7.58
2025-2026,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,13.140238,30.52,7.02
2020-2021,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,10.938846,18.66,6.76
2020-2021,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,9.318462,14.99,6.22
2019-2020,COVID-19,Admissions,Other Race/Ethnicity,3.903077,21.38,0.00
2021-2022,COVID-19,Admissions,Black Non-Hispanic,5.150577,33.06,0.66
2019-2020,RSV,Admissions,Unknown Race/Ethnicity,0.300000,2.32,0.00
2021-2022,COVID-19,ED Visits,Unknown Race/Ethnicity,2.671731,15.39,0.12
2022-2023,Influenza,Admissions,Asian Non-Hispanic,0.369615,2.65,0.00
2017-2018,ILI,ED Visits,Unknown Race/Ethnicity,3.080577,10.37,0.79
2022-2023,Broad Acute Respiratory,Admissions,Black Non-Hispanic,15.482308,23.01,11.24
2024-2025,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,10.645000,16.93,6.89
2023-2024,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,10.267885,20.07,5.16
2016-2017,Influenza,ED Visits,Other Race/Ethnicity,0.875962,4.86,0.00
2023-2024,ILI,Admissions,White Non-Hispanic,0.424423,1.12,0.07
2025-2026,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,14.891429,26.42,6.90
2022-2023,Influenza,ED Visits,Hispanic or Latino,1.428846,12.66,0.05
2020-2021,COVID-19,ED Visits,Asian Non-Hispanic,4.537308,16.38,0.00
2025-2026,ILI,ED Visits,Hispanic or Latino,1.550238,4.36,0.51
2021-2022,ILI,Admissions,Asian Non-Hispanic,0.312308,1.27,0.00
2023-2024,RSV,Admissions,Unknown Race/Ethnicity,0.330385,2.33,0.00
2023-2024,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,10.857115,16.44,6.45
2025-2026,Broad Acute Respiratory,Admissions,Hispanic or Latino,13.435714,22.80,5.36
2020-2021,Broad Acute Respiratory,ED Visits,Hispanic or Latino,11.281346,22.02,6.51
2022-2023,ILI,Admissions,Asian Non-Hispanic,0.329808,2.42,0.00
2025-2026,RSV,ED Visits,Hispanic or Latino,0.427619,1.26,0.00
2024-2025,Broad Acute Respiratory,Admissions,Black Non-Hispanic,16.455385,24.23,11.36
2025-2026,Influenza,ED Visits,Unknown Race/Ethnicity,0.816190,6.28,0.00
2019-2020,COVID-19,ED Visits,Asian Non-Hispanic,2.135000,12.35,0.00
2017-2018,RSV,ED Visits,Black Non-Hispanic,0.060962,0.27,0.00
2019-2020,COVID-19,ED Visits,Other Race/Ethnicity,2.006154,10.16,0.00
2022-2023,COVID-19,ED Visits,White Non-Hispanic,1.630962,3.86,0.31
2018-2019,Influenza,ED Visits,Unknown Race/Ethnicity,0.501538,2.92,0.00
2021-2022,COVID-19,ED Visits,White Non-Hispanic,3.823462,17.65,0.50
2022-2023,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,12.971923,25.00,5.96
2018-2019,RSV,ED Visits,White Non-Hispanic,0.119615,0.66,0.00
2018-2019,ILI,ED Visits,Other Race/Ethnicity,1.880962,4.05,0.32
2019-2020,RSV,Admissions,Asian Non-Hispanic,0.249038,2.78,0.00
2023-2024,COVID-19,Admissions,Unknown Race/Ethnicity,0.951731,3.29,0.00
2025-2026,COVID-19,ED Visits,Asian Non-Hispanic,0.537857,2.15,0.00
2019-2020,COVID-19,ED Visits,Black Non-Hispanic,1.473846,7.41,0.00
2025-2026,Influenza,Admissions,Other Race/Ethnicity,0.845476,5.18,0.00
2016-2017,ILI,ED Visits,White Non-Hispanic,1.325577,2.81,0.46
2020-2021,ILI,ED Visits,Other Race/Ethnicity,0.777885,2.72,0.11
2025-2026,Influenza,Admissions,Asian Non-Hispanic,0.815000,6.15,0.00
2018-2019,COVID-19,ED Visits,Black Non-Hispanic,0.000000,0.00,0.00
2019-2020,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,17.117692,39.94,6.43
