season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2024-2025,RSV,Admissions,Unknown Race/Ethnicity,0.296538,2.01,0.00
2025-2026,RSV,ED Visits,White Non-Hispanic,0.355238,1.17,0.00
2022-2023,ILI,Admissions,Other Race/Ethnicity,0.417308,2.44,0.00
2019-2020,ILI,Admissions,Hispanic or Latino,2.070769,6.37,0.14
2019-2020,Influenza,ED Visits,Asian Non-Hispanic,1.253462,8.77,0.00
2015-2016,ILI,ED Visits,Black Non-Hispanic,1.806154,4.10,0.65
2019-2020,Influenza,Admissions,Other Race/Ethnicity,0.653654,4.09,0.00
2025-2026,Broad Acute Respiratory,Admissions,Unknown Race/Ethnicity,11.172619,17.47,2.62
2025-2026,Influenza,ED Visits,Asian Non-Hispanic,2.006905,13.62,0.00
2019-2020,Broad Acute Respiratory,ED Visits,Hispanic or Latino,16.482500,32.79,6.74
2020-2021,Broad Acute Respiratory,Admissions,White Non-Hispanic,12.797308,21.34,8.74
2017-2018,COVID-19,ED Visits,Other Race/Ethnicity,0.000000,0.00,0.00
2025-2026,COVID-19,Admissions,Black Non-Hispanic,0.514524,1.69,0.00
2015-2016,ILI,ED Visits,White Non-Hispanic,1.730385,4.69,0.56
2019-2020,Broad Acute Respiratory,Admissions,Black Non-Hispanic,18.493654,41.23,11.60
2015-2016,ILI,ED Visits,Asian Non-Hispanic,3.364808,9.95,0.44
2025-2026,ILI,Admissions,White Non-Hispanic,0.382857,1.47,0.00
2021-2022,Influenza,ED Visits,White Non-Hispanic,0.226923,1.03,0.00
2015-2016,Influenza,ED Visits,Unknown Race/Ethnicity,0.064808,0.51,0.00
2024-2025,Influenza,ED Visits,Other Race/Ethnicity,1.545577,8.25,0.00
2022-2023,COVID-19,Admissions,Unknown Race/Ethnicity,1.040577,2.94,0.00
2019-2020,COVID-19,Admissions,Unknown Race/Ethnicity,4.019423,22.70,0.00
2015-2016,COVID-19,ED Visits,White Non-Hispanic,0.000000,0.00,0.00
2017-2018,COVID-19,ED Visits,White Non-Hispanic,0.000000,0.00,0.00
2021-2022,ILI,ED Visits,Asian Non-Hispanic,1.156154,3.20,0.00
2023-2024,ILI,ED Visits,Hispanic or Latino,1.958846,4.55,0.58
2018-2019,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,7.980577,19.02,2.44
